Date,Day_name,Open,Gap_Point,Gap_Point(%),Open_Gap_Type,Remarks,Gap_Fill_Point,Gap_Fill_Point%,Low,High,Day_Range,Close,Day_Range(%)
2021-02-18,Thursday,37075,99,0.27,"FLAT UP","NOT FILL",-723,-730.3,36352,37125.15,773.15,36603.3,2.11
2021-02-17,Wednesday,37050.05,-168.1,-0.45,"MEDIUM GAP DOWN","GAP FILL UP",350.5,208.51,36820,37400.55,580.55,36976,1.57
2021-02-16,Tuesday,37550,147.3,0.39,"MEDIUM GAP UP","NOT FILL",-717.4,-486.87,36832.6,37770,937.4,37218.15,2.52
2021-02-15,Monday,36455,321.2,0.89,"BIG GAP UP","NOT FILL",-31.55,-9.82,36423.45,37543.95,1120.5,37402.65,3
2021-02-12,Friday,35770,-38.8,-0.11,"FLAT DOWN","GAP FILL UP",577.75,1490.97,35720.15,36347.75,627.6,36133.8,1.74
2021-02-11,Thursday,35750,-125.4,-0.35,"MEDIUM GAP DOWN","GAP FILL UP",317,252.79,35630,36067,437,35808.75,1.22
2021-02-10,Wednesday,35960,-85.9,-0.24,"FLAT DOWN","GAP FILL UP",293,340.9,35462.75,36253,790.25,35875.4,2.2
2021-02-09,Tuesday,36580,566.2,1.57,"BIG GAP UP","NOT FILL",-941,-166.2,35639,36580,941,36045.95,2.61
2021-02-08,Monday,36140,474.1,1.33,"BIG GAP UP","NOT FILL",-280,-59.07,35860,36503.5,643.5,36013.8,1.79
2021-02-05,Friday,35575.9,223.8,0.63,"MEDIUM GAP UP","NOT FILL",-48.9,-21.84,35527,36640,1113,35665.95,3.12
2021-02-04,Thursday,34551.05,-290.7,-0.83,"BIG GAP DOWN","GAP FILL UP",936.95,322.31,34343.55,35488,1144.45,35352.05,3.24
2021-02-03,Wednesday,34675,282.3,0.82,"BIG GAP UP","NOT FILL",-577.5,-204.57,34097.5,34998.9,901.4,34841.75,2.59
2021-02-02,Tuesday,33610,333.7,1,"BIG GAP UP","NOT FILL",-9,-2.7,33601,34740.5,1139.5,34392.7,3.31
2021-02-01,Monday,30994.85,315.7,1.03,"BIG GAP UP","NOT FILL",-52.35,-16.58,30942.5,33484.95,2542.45,33276.3,7.64
