Date,Open,High,Low,Close,Volume
5/29/2020,18918,19183.2,18655.8,19099.2,8.15
5/28/2020,18816.55,19436,18748.55,19169.8,7.85
5/27/2020,17556.75,18863.3,17484.6,18663.05,10.54
5/26/2020,17525,17690,17261.6,17445.15,6.86
5/22/2020,17499.5,17899.95,17005.95,17216.1,10.1
5/21/2020,17923.3,18175,17565.6,17644.85,6.85
5/20/2020,17390,18026.95,17351.7,17836.65,8.04
5/19/2020,17735,18165,17318,17438.75,9.24
5/18/2020,18705.1,18711.1,17458.3,17531.6,8.6
5/15/2020,19079.6,19079.65,18651,18807.7,5.89
5/14/2020,19225.65,19340.5,18957.25,19038.75,6.19
5/13/2020,19950,20199,19423,19617,8.21
5/12/2020,18696,18991,18209,18839.1,8.61
5/11/2020,19489.85,19700,18855,18914.4,6.44
5/8/2020,19825,19950,19210,19284.65,5.81
5/7/2020,19470,19743.35,19300,19505.3,5.77
5/6/2020,19219.2,19819,18900,19671.95,8.59
5/5/2020,19906.05,20098,19164.35,19246.35,7.15
5/4/2020,20600,20600,19505,19632.75,5.35
4/30/2020,21550.2,21984.85,21342.9,21534.5,5.05
4/29/2020,20540.05,21359.85,20401.05,21128.1,5.17
4/28/2020,20399.45,20749,20242,20676.1,5.16
4/27/2020,19690,20240,19690,20107.1,5.37
4/24/2020,19734.8,19860,19381,19517.1,6.12
4/23/2020,19797.95,20299.85,19539.9,20182.75,6.14
4/22/2020,19240,19837.8,19002,19677.4,7.54
